x,U_0,U_1,U_2
-0.152,4.34703e-13,1.51569e-13,0
-0.14945,5.22572e-13,7.59047e-14,0
-0.1464,5.80959e-13,-8.75712e-15,0
-0.14335,4.48127e-13,2.77353e-14,0
-0.1403,2.49608e-13,-5.47374e-14,0
-0.13725,1.62026e-13,-1.13125e-13,0
-0.1342,2.77342e-13,-6.56851e-14,0
-0.13115,2.53988e-13,-1.70053e-13,0
-0.1281,4.37912e-14,-3.00696e-13,0
-0.12505,-2.9194e-14,-3.22591e-13,0
-0.122,-7.73641e-14,-2.56905e-13,0
-0.11895,-7.44453e-14,-5.40074e-14,0
-0.1159,2.3501e-13,1.40132e-13,0
-0.11285,5.41404e-13,3.02158e-13,1.75598e-38
-0.1098,4.59805e-13,3.06538e-13,1.73575e-38
-0.10675,4.78924e-13,1.67137e-13,0
-0.1037,6.68541e-13,5.2551e-14,0
-0.10065,8.05753e-13,-7.9551e-14,0
-0.0976,4.12072e-12,-2.80259e-13,0
-0.09455,2.79576e-11,-4.88995e-13,0
-0.0915,1.69926e-10,-4.54693e-13,0
-0.08845,9.74109e-10,-3.7368e-13,0
-0.0854,5.35237e-09,-3.97765e-13,0
-0.08235,2.83242e-08,-4.43745e-13,0
-0.0793,1.44229e-07,-4.04334e-13,0
-0.07625,7.05804e-07,-4.40096e-13,0
-0.0732,3.31091e-06,-4.9264e-13,0
-0.07015,1.48624e-05,-4.40807e-13,0
-0.0671,6.36479e-05,-5.04982e-13,0
-0.06405,0.000259446,-4.27405e-13,0
-0.061,0.00100289,-2.36264e-13,0
-0.05795,0.00366499,3.51849e-13,1.39198e-38
-0.0549,0.0126022,2.32457e-12,1.37176e-38
-0.05185,0.0405949,9.03296e-12,0
-0.0488,0.12173,3.00172e-11,0
-0.04575,0.337537,8.86577e-11,0
-0.0427,0.857409,2.30456e-10,-1.28871e-38
-0.03965,1.97225,5.11876e-10,-1.26853e-38
-0.0366,4.03123,9.0848e-10,0
-0.03355,7.16862,1.08651e-09,1.21589e-38
-0.0305,11.0325,3.27079e-10,1.19591e-38
-0.02745,14.8942,-1.99046e-09,0
-0.0244,17.9264,-5.41586e-09,0
-0.02135,19.5389,-7.99629e-09,-1.12136e-38
-0.0183,19.8214,-6.12152e-09,-1.10163e-38
-0.01525,19.6801,-3.65727e-09,0
-0.0122,19.393,-1.36183e-09,0
-0.00915,19.3498,-3.39278e-09,0
-0.0061,19.2546,3.85912e-09,0
-0.00305,18.9955,-1.03262e-08,0
-8.27181e-25,19.457,-9.64958e-09,0
0.00305,19.209,5.31878e-09,0
0.0061,18.8883,1.05902e-08,0
0.00915,19.2122,1.00679e-08,0
0.0122,19.1975,1.43634e-09,0
0.01525,19.1748,7.17262e-09,-4.6293e-39
0.0183,19.098,5.61593e-09,-1.39294e-41
0.02135,19.1685,3.72116e-09,4.40919e-39
0.0244,19.7457,4.1836e-09,0
0.02745,19.7,1.10844e-08,-4.2093e-39
0.0305,16.7758,1.13647e-08,-4.10622e-39
0.03355,11.2489,3.90606e-09,0
0.0366,6.03231,-2.14438e-09,0
0.03965,2.78709,-3.28589e-09,0
0.0427,1.16162,-2.44408e-09,0
0.04575,0.44345,-1.35285e-09,0
0.0488,0.156382,-6.33012e-10,0
0.05185,0.0512967,-2.58276e-10,0
0.0549,0.0157292,-9.55177e-11,0
0.05795,0.00453171,-3.21498e-11,0
0.061,0.00123115,-1.01838e-11,0
0.06405,0.000316705,-3.03261e-12,2.91558e-39
0.0671,7.73503e-05,-8.98467e-13,2.81447e-39
0.07015,1.79978e-05,-3.97791e-13,0
0.0732,3.99792e-06,-1.89503e-13,0
0.07625,8.50266e-07,-1.29322e-13,0
0.0793,1.73419e-07,7.25613e-15,0
0.08235,3.40025e-08,1.31884e-13,0
0.0854,6.41729e-09,1.39993e-13,0
0.08845,1.168e-09,1.25909e-13,0
0.0915,2.04919e-10,2.34749e-14,0
0.09455,3.41846e-11,-9.94455e-14,0
0.0976,5.06433e-12,-2.05721e-13,0
0.10065,5.19684e-13,-1.70296e-13,0
0.1037,7.06827e-14,-8.62147e-14,0
0.10675,7.2373e-14,-1.19506e-13,0
0.1098,-1.52964e-13,-1.62613e-13,0
0.11285,-4.3551e-13,-1.83527e-13,0
0.1159,-4.87924e-13,-3.06874e-13,0
0.11895,-1.95645e-13,-3.55957e-13,0
0.122,1.10618e-13,-3.52543e-13,0
0.12505,1.6253e-13,-4.43026e-13,-8.93403e-40
0.1281,3.52886e-13,-5.02779e-13,-7.92295e-40
0.13115,6.37654e-13,-5.7747e-13,-6.91186e-40
0.1342,5.85412e-13,-5.36923e-13,-5.90077e-40
0.13725,1.95808e-13,-2.52243e-13,0
0.1403,-3.15664e-13,1.24628e-13,0
0.14335,-4.21171e-13,3.72176e-13,0
0.1464,-2.68374e-13,5.9753e-13,0
0.14945,-1.70373e-13,8.25446e-13,0
0.152,-9.64431e-14,8.79686e-13,0
