x,p,T
-0.98,301209,496.009
-0.94,299453,495.683
-0.9,298656,495.411
-0.86,298167,495.14
-0.82,297478,494.819
-0.78,296735,494.469
-0.74,295933,494.084
-0.7,295034,493.655
-0.66,294034,493.177
-0.62,292916,492.641
-0.58,291660,492.037
-0.54,290241,491.352
-0.5,288628,490.572
-0.46,286783,489.675
-0.42,284657,488.637
-0.38,282186,487.424
-0.34,279286,485.99
-0.3,275844,484.274
-0.26,271700,482.189
-0.22,266622,479.604
-0.18,260254,476.315
-0.14,252001,471.974
-0.1,240745,465.907
-0.06,224087,456.548
-0.02,196289,439.014
0.02,139813,398.647
0.06,102290,363.857
0.1,82929.6,342.75
0.14,70713.8,327.677
0.18,61795.9,315.257
0.22,54762.5,304.347
0.26,49158.6,295.25
0.3,44478.4,287.081
0.34,40531.5,279.503
0.38,37084.9,272.239
0.42,34414.4,266.658
0.46,30645.7,258.135
0.5,30763.4,258.41
0.54,90516.9,404.249
0.58,156326,472.475
0.62,160618,477.375
0.66,162442,478.217
0.7,164839,480.069
0.74,166314,481.78
0.78,167972,482.976
0.82,169862,484.35
0.86,171695,486.042
0.9,173469,487.393
0.94,174680,488.2
0.98,173720,489.205
