x,U_0,U_1,U_2
-0.98,85.373,9.26672e-13,0
-0.94,88.8465,9.82066e-13,0
-0.9,91.6503,6.67681e-12,0
-0.86,94.4055,-6.31605e-11,-9.86678e-15
-0.82,97.5715,5.09568e-10,-1.01181e-14
-0.78,100.939,-3.62287e-09,-1.0448e-14
-0.74,104.547,2.3742e-08,0
-0.7,108.453,-1.46903e-07,0
-0.66,112.677,8.31561e-07,-1.14807e-14
-0.62,117.257,-4.28286e-06,-1.18747e-14
-0.58,122.24,1.99743e-05,0
-0.54,127.677,-8.37172e-05,-1.27504e-14
-0.5,133.634,0.000313116,0
-0.46,140.189,-0.00103729,0
-0.42,147.439,0.00301756,-1.433e-14
-0.38,155.505,-0.0076262,0
-0.34,164.545,0.0164791,-1.56052e-14
-0.3,174.766,-0.0295588,0
-0.26,186.45,0.0410845,0
-0.22,200,-0.0353332,0
-0.18,216.02,-0.00704782,0
-0.14,235.506,0.0760732,0
-0.1,260.296,-0.0945911,0
-0.06,294.456,-0.0120156,0
-0.02,349.492,0.116944,0
0.02,450.139,0.096552,0
0.06,521.054,-0.360092,0
0.1,560.842,-0.187061,0
0.14,587.507,0.110475,0
0.18,608.264,0.288243,0
0.22,625.512,0.227035,0
0.26,640.302,0.139712,0
0.3,653.262,0.0345847,0
0.34,664.697,-0.0624493,9.33303e-15
0.38,675.198,-0.0982189,0
0.42,683.788,-0.13844,7.94234e-15
0.46,696.44,-0.114068,0
0.5,695.089,0.129225,0
0.54,407.174,-17.3696,1.01764e-14
0.58,256.365,11.7997,0
0.62,228.265,15.4993,1.17993e-14
0.66,218.871,4.684,1.09267e-14
0.7,209.51,-5.52754,0
0.74,200.538,-9.87224,0
0.78,192.488,-7.77236,9.82486e-15
0.82,185.329,-2.33166,0
0.86,178.774,2.82689,9.34602e-15
0.9,172.478,5.00905,0
0.94,169.137,2.09641,0
0.98,160.116,0.931474,0
