x,p,T,maxKappa,minKappa
-0.152,68970,289,1.17145e-12,3.81649e-13
-0.14945,68970,289,7.14587e-12,2.32807e-12
-0.1464,68970,289,5.70317e-12,1.49778e-12
-0.14335,68970,289,3.47864e-12,1.009e-12
-0.1403,68970,289,2.89308e-12,3.52556e-13
-0.13725,68970,289,2.48983e-12,2.58273e-13
-0.1342,68970,289,2.97812e-12,4.17067e-13
-0.13115,68970,289,4.3144e-12,5.34176e-13
-0.1281,68970,289,4.48503e-12,3.72895e-13
-0.12505,68970,289,3.73691e-12,2.86148e-13
-0.122,68970,289,3.69274e-12,4.64913e-13
-0.11895,68970,289,3.58673e-12,5.38483e-13
-0.1159,68970,289,4.16979e-12,9.41038e-13
-0.11285,68970,289,6.21934e-12,9.63345e-13
-0.1098,68970,289,4.54083e-12,6.48317e-13
-0.10675,68970,289,3.05667e-12,6.07227e-13
-0.1037,68970,289,3.6309e-12,4.61127e-13
-0.10065,68970,289,4.43482e-12,3.10462e-13
-0.0976,68970,289,4.00194e-12,1.96321e-13
-0.09455,68970,289,3.85176e-12,4.01774e-13
-0.0915,68970,289,4.26696e-12,5.15914e-13
-0.08845,68970,289,4.16095e-12,3.60684e-13
-0.0854,68970,289,3.86055e-12,2.34443e-13
-0.08235,68970,289,2.78276e-12,1.24868e-13
-0.0793,68970,289,2.26158e-12,1.00444e-13
-0.07625,68970,289,2.87114e-12,3.42421e-13
-0.0732,68970,289,5.19456e-12,4.56561e-13
-0.07015,68970,289,5.55676e-12,3.56118e-13
-0.0671,68970,289,3.26869e-12,2.78503e-13
-0.06405,68970,289,1.89938e-12,3.69814e-13
-0.061,68970,289,2.4471e-12,5.25045e-13
-0.05795,68970,289,2.86232e-12,7.12234e-13
-0.0549,68970,289,3.54667e-12,5.79943e-13
-0.05185,68970,289,5.92868e-10,1.88582e-12
-0.0488,68970,289,3.10042e-07,3.69685e-12
-0.04575,68970,289,0.000143385,6.16458e-11
-0.0427,68966.8,288.996,0.0286048,2.96694e-08
-0.03965,68823.7,288.785,0.528462,1.6052e-06
-0.0366,68015.2,287.732,1,2.85686e-06
-0.03355,66535,285.939,1,3.45054e-06
-0.0305,65185.5,284.341,1,3.32583e-06
-0.02745,64363.9,283.342,1,2.74172e-06
-0.0244,63958,282.833,1,2.62452e-06
-0.02135,63805.1,282.599,1,3.47024e-06
-0.0183,63757,282.487,1,6.09969e-06
-0.01525,63739.2,282.431,1,6.32782e-06
-0.0122,63742.9,282.439,1,4.89641e-06
-0.00915,63747.8,282.593,1,4.87768e-06
-0.0061,63747.7,283.14,1,5.91453e-06
-0.00305,63745.6,284.533,1,6.34347e-06
-8.27181e-25,63743.8,287.047,1,5.90833e-06
0.00305,63744.3,290.219,1,5.43585e-06
0.0061,63745.6,293.005,1,5.15708e-06
0.00915,63747.2,294.706,1,4.72887e-06
0.0122,63747.4,295.416,1,3.73462e-06
0.01525,63745.3,295.605,1,2.60042e-06
0.0183,63744.2,295.634,1,1.7165e-06
0.02135,63744,295.615,1,1.56061e-06
0.0244,63707.4,295.519,1,1.97142e-06
0.02745,63557.2,295.276,1,1.44285e-06
0.0305,63144.4,294.72,1,1.21161e-06
0.03355,62226.2,293.543,1,1.15994e-06
0.0366,60753.5,291.639,1,1.36164e-06
0.03965,59468.4,289.817,0.757065,2.08087e-06
0.0427,59003.4,289.054,0.260505,1.03174e-06
0.04575,58970.2,289,0.00344849,1.43601e-08
0.0488,58970,289,8.94775e-06,6.52025e-11
0.05185,58970,289,1.63788e-08,1.78437e-12
0.0549,58970,289,3.11793e-11,1.23676e-12
0.05795,58970,289,3.64937e-12,4.11754e-13
0.061,58970,289,5.51233e-12,7.31559e-13
0.06405,58970,289,4.48834e-12,4.85818e-13
0.0671,58970,289,4.24036e-12,2.21495e-13
0.07015,58970,289,4.27761e-12,3.4709e-13
0.0732,58970,289,3.00026e-12,4.00098e-13
0.07625,58970,289,4.57078e-12,5.30923e-13
0.0793,58970,289,4.30861e-12,6.30101e-13
0.08235,58970,289,3.53885e-12,3.42683e-13
0.0854,58970,289,4.58758e-12,9.97208e-14
0.08845,58970,289,3.35959e-12,9.40334e-14
0.0915,58970,289,6.10801e-12,2.27421e-13
0.09455,58970,289,7.9921e-12,5.41885e-13
0.0976,58970,289,6.41641e-12,1.5619e-12
0.10065,58970,289,7.78028e-12,1.89831e-12
0.1037,58970,289,7.48064e-12,1.22015e-12
0.10675,58970,289,6.65406e-12,1.07403e-12
0.1098,58970,289,7.49098e-12,8.73781e-13
0.11285,58970,289,7.59431e-12,6.03402e-13
0.1159,58970,289,6.88137e-12,6.8617e-13
0.11895,58970,289,5.61049e-12,5.79785e-13
0.122,58970,289,5.27469e-12,5.50416e-13
0.12505,58970,289,5.07321e-12,7.20878e-13
0.1281,58970,289,5.8223e-12,1.11869e-12
0.13115,58970,289,5.97212e-12,1.367e-12
0.1342,58970,289,4.0193e-12,1.22816e-12
0.13725,58970,289,5.13003e-12,6.24414e-13
0.1403,58970,289,5.89087e-12,6.1608e-13
0.14335,58970,289,4.93495e-12,1.20503e-12
0.1464,58970,289,5.69295e-12,1.61186e-12
0.14945,58970,289,8.80318e-12,3.67601e-12
0.152,58970,289,1.44314e-12,6.02624e-13
