x,p,T,maxKappa,minKappa
-0.152,68924.3,288.98,2.48796e-05,2.25096e-08
-0.14945,68922.8,288.979,0.000151766,1.37308e-07
-0.1464,68918.1,288.976,0.000256575,1.50716e-07
-0.14335,68910.8,288.972,0.000374404,1.71048e-07
-0.1403,68900,288.966,0.000510922,2.0016e-07
-0.13725,68885.6,288.959,0.000672078,2.38139e-07
-0.1342,68866.8,288.948,0.000864586,2.86146e-07
-0.13115,68843.1,288.934,0.00109588,3.44932e-07
-0.1281,68813.5,288.916,0.00137426,4.1534e-07
-0.12505,68777,288.894,0.0017089,4.97945e-07
-0.122,68732.6,288.867,0.00210987,5.92953e-07
-0.11895,68678.9,288.833,0.00258808,6.99932e-07
-0.1159,68614.4,288.79,0.00315516,8.17565e-07
-0.11285,68537.9,288.738,0.00382327,9.43181e-07
-0.1098,68447.4,288.674,0.00460477,1.07231e-06
-0.10675,68341.6,288.598,0.00551181,1.19829e-06
-0.1037,68218.8,288.506,0.00655578,1.31132e-06
-0.10065,68077.4,288.397,0.00774671,1.39765e-06
-0.0976,67916.3,288.267,0.00909241,1.44012e-06
-0.09455,67734.3,288.114,0.0105977,1.42575e-06
-0.0915,67530.8,287.938,0.0122632,1.13455e-06
-0.08845,67305.8,287.734,0.0140847,8.0553e-07
-0.0854,67060,287.501,0.016052,5.77577e-07
-0.08235,66794.7,287.24,0.0181481,3.0543e-07
-0.0793,66512.3,286.947,0.0203481,6.81753e-07
-0.07625,66216.3,286.626,0.0226196,1.81408e-06
-0.0732,65911,286.277,0.0249219,3.30053e-06
-0.07015,65602.1,285.904,0.0272075,5.20928e-06
-0.0671,65296,285.511,0.0294225,7.56406e-06
-0.06405,65000,285.106,0.03151,1.03716e-05
-0.061,64721.8,284.697,0.0334131,1.36035e-05
-0.05795,64468.9,284.294,0.0350794,1.74239e-05
-0.0549,64248.1,283.91,0.0364666,2.16257e-05
-0.05185,64064.7,283.555,0.0375486,2.59842e-05
-0.0488,63921.9,283.242,0.0383202,3.04234e-05
-0.04575,63819.3,282.981,0.0388021,3.53293e-05
-0.0427,63755.2,282.778,0.0390334,3.96822e-05
-0.03965,63720.7,282.634,0.0390917,4.47228e-05
-0.0366,63707.4,282.547,0.0390864,4.84234e-05
-0.03355,63707.4,282.506,0.0390463,5.03899e-05
-0.0305,63711.8,282.487,0.0389779,5.0935e-05
-0.02745,63720,282.489,0.0389036,4.80208e-05
-0.0244,63729.1,282.495,0.0388359,4.13683e-05
-0.02135,63736.7,282.507,0.0387783,2.02369e-05
-0.0183,63741.3,282.519,0.0387371,3.98142e-05
-0.01525,63742.6,282.521,0.0387179,6.40772e-05
-0.0122,63742.5,282.516,0.0387024,5.97541e-05
-0.00915,63742,282.498,0.0386836,3.50555e-05
-0.0061,63741.4,282.504,0.038672,1.70076e-06
-0.00305,63740.5,282.646,0.0386677,7.76152e-06
-8.27181e-25,63739.6,283.698,0.0386041,4.13861e-05
0.00305,63734.2,286.923,0.0383556,8.13344e-05
0.0061,63731.8,291.457,0.0378602,6.41602e-05
0.00915,63732,294.471,0.0373607,5.70405e-05
0.0122,63730.2,295.344,0.0371406,4.80499e-05
0.01525,63730.4,295.438,0.0371131,2.1269e-05
0.0183,63730.3,295.441,0.0371118,2.63298e-05
0.02135,63730.3,295.445,0.0371089,3.62824e-05
0.0244,63730.9,295.454,0.0370973,4.13559e-05
0.02745,63732.9,295.467,0.0370945,1.85628e-05
0.0305,63737.4,295.483,0.0371248,1.12859e-05
0.03355,63745,295.494,0.0371802,1.80743e-05
0.0366,63753.7,295.496,0.037249,1.71349e-05
0.03965,63758.9,295.482,0.0373249,2.39523e-05
0.0427,63758.8,295.438,0.0373766,2.71747e-05
0.04575,63748.6,295.354,0.0373903,3.05104e-05
0.0488,63720.3,295.22,0.037354,3.2975e-05
0.05185,63666.9,295.031,0.0372023,3.07622e-05
0.0549,63582.8,294.786,0.036868,3.04997e-05
0.05795,63463.9,294.489,0.0363056,2.89852e-05
0.061,63308.2,294.146,0.035481,2.66956e-05
0.06405,63116.4,293.767,0.0343764,2.3676e-05
0.0671,62891.7,293.362,0.0329918,2.03101e-05
0.07015,62639,292.945,0.0313445,1.68371e-05
0.0732,62364.9,292.527,0.029467,1.34801e-05
0.07625,62076.8,292.117,0.0274046,1.03619e-05
0.0793,61782.5,291.726,0.0252106,7.51883e-06
0.08235,61489.1,291.359,0.0229419,5.04577e-06
0.0854,61203.4,291.022,0.0206552,2.9932e-06
0.08845,60930.6,290.718,0.018403,1.35063e-06
0.0915,60675.1,290.447,0.0162311,3.76198e-07
0.09455,60439.7,290.208,0.0141765,3.61038e-07
0.0976,60226.2,290.002,0.0122668,7.30659e-07
0.10065,60035.1,289.825,0.0105203,1.20921e-06
0.1037,59866.4,289.674,0.00894637,1.6031e-06
0.10675,59719.2,289.548,0.00754697,1.64503e-06
0.1098,59591.9,289.442,0.00631805,1.60282e-06
0.11285,59483.2,289.356,0.00525093,1.49986e-06
0.1159,59391.2,289.284,0.00433371,1.3613e-06
0.11895,59313.8,289.226,0.00355256,1.20801e-06
0.122,59249.5,289.179,0.00289271,1.0529e-06
0.12505,59196.4,289.142,0.00233922,9.04724e-07
0.1281,59153,289.111,0.00187761,7.68912e-07
0.13115,59117.9,289.088,0.00149421,6.48536e-07
0.1342,59089.8,289.069,0.00117636,5.4502e-07
0.13725,59067.7,289.055,0.000912541,4.58549e-07
0.1403,59050.7,289.044,0.00069238,3.88964e-07
0.14335,59038.1,289.037,0.000506494,3.34874e-07
0.1464,59029.4,289.031,0.000346568,2.96754e-07
0.14945,59024,289.028,0.000204704,2.71282e-07
0.152,59022.2,289.027,3.3558e-05,4.44724e-08
