x,p,T
-0.98,302702,495.056
-0.94,302196,494.853
-0.9,303207,495.009
-0.86,304617,495.311
-0.82,305855,495.722
-0.78,307087,496.267
-0.74,308272,496.927
-0.7,309352,497.677
-0.66,310305,498.487
-0.62,311098,499.324
-0.58,311690,500.161
-0.54,312034,500.981
-0.5,312079,501.729
-0.46,311736,502.115
-0.42,310889,502.054
-0.38,309563,501.77
-0.34,307604,501.123
-0.3,304884,500.019
-0.26,301249,498.359
-0.22,296442,495.992
-0.18,290065,492.697
-0.14,281451,488.13
-0.1,269341,481.635
-0.06,251030,471.655
-0.02,220067,453.197
0.02,156940,411.406
0.06,115147,375.763
0.1,93206.1,353.387
0.14,79425.9,337.4
0.18,69346,324.412
0.22,61447.2,313.263
0.26,55037.2,303.448
0.3,49711.3,294.66
0.34,45221.1,286.736
0.38,41324.3,279.378
0.42,38183.5,273.142
0.46,33961.2,264.144
0.5,34613.8,265.634
0.54,131869,452.917
0.58,163711,476.218
0.62,165322,475.616
0.66,165492,473.964
0.7,165806,469.64
0.74,166157,461.739
0.78,166308,453.764
0.82,167027,451.19
0.86,168052,452.12
0.9,169670,456.479
0.94,171714,466.401
0.98,170855,479.006
