x,U_0,U_1,U_2
-0.98,89.7275,-0.00429923,0
-0.94,93.3181,-0.0042904,0
-0.9,96.2108,-0.00433741,0
-0.86,99.0193,-0.00432889,-9.92074e-15
-0.82,102.228,-0.00429851,-1.01751e-14
-0.78,105.617,-0.00423874,-1.05119e-14
-0.74,109.225,-0.0042054,0
-0.7,113.11,-0.00412788,0
-0.66,117.293,-0.00412124,-1.15612e-14
-0.62,121.81,-0.00425998,-1.19598e-14
-0.58,126.708,-0.00415912,0
-0.54,132.039,-0.00421975,-1.28427e-14
-0.5,137.867,-0.00459988,0
-0.46,144.27,-0.00440178,0
-0.42,151.347,-0.00461477,-1.44285e-14
-0.38,159.218,-0.00497935,0
-0.34,168.041,-0.00430107,-1.57063e-14
-0.3,178.025,-0.00508358,0
-0.26,189.45,-0.00419063,0
-0.22,202.72,-0.00233248,0
-0.18,218.438,-0.00363286,0
-0.14,237.597,-0.0358698,0
-0.1,262.034,0.0204437,0
-0.06,295.83,0.448727,0
-0.02,350.484,-1.11419,0
0.02,451.12,-2.80249,0
0.06,523.204,8.64667,0
0.1,561.868,1.51139,0
0.14,588.806,-3.90702,0
0.18,609.125,-3.19724,0
0.22,626.927,-4.59687,0
0.26,641.287,-0.724398,0
0.3,654.457,2.41727,0
0.34,665.551,2.47168,9.32608e-15
0.38,676.547,4.09586,0
0.42,684.423,1.3609,7.87744e-15
0.46,697.469,-0.894519,0
0.5,696.691,-1.61651,0
0.54,433.24,-0.202713,9.92352e-15
0.58,240.037,12.519,0
0.62,216.94,-12.079,1.20677e-14
0.66,206.027,-9.39146,1.1297e-14
0.7,196.439,-1.61807,0
0.74,188.365,6.16454,0
0.78,179.951,6.62573,1.01744e-14
0.82,173.037,2.12047,0
0.86,166.963,-2.61994,9.62369e-15
0.9,161.664,-3.23827,0
0.94,159.166,-0.33012,0
0.98,153.276,0.470002,0
