x,p,T
-0.152,68963.2,288.998
-0.14945,68962.9,288.997
-0.1464,68962,288.997
-0.14335,68960.4,288.996
-0.1403,68958.2,288.995
-0.13725,68955.1,288.994
-0.1342,68951,288.992
-0.13115,68945.5,288.99
-0.1281,68938.4,288.987
-0.12505,68929.4,288.983
-0.122,68917.8,288.977
-0.11895,68903.1,288.97
-0.1159,68884.5,288.96
-0.11285,68861.3,288.948
-0.1098,68832.3,288.933
-0.10675,68796.5,288.913
-0.1037,68752.4,288.888
-0.10065,68698.4,288.856
-0.0976,68633,288.816
-0.09455,68554.1,288.766
-0.0915,68459.8,288.704
-0.08845,68348,288.628
-0.0854,68216.9,288.535
-0.08235,68064.4,288.423
-0.0793,67888.8,288.287
-0.07625,67689,288.126
-0.0732,67464.2,287.937
-0.07015,67214.7,287.717
-0.0671,66941.5,287.463
-0.06405,66647.1,287.175
-0.061,66335.2,286.854
-0.05795,66010.8,286.5
-0.0549,65680.6,286.115
-0.05185,65352.4,285.708
-0.0488,65035.3,285.285
-0.04575,64738.6,284.857
-0.0427,64471.9,284.437
-0.03965,64243.3,284.038
-0.0366,64059,283.674
-0.03355,63922.1,283.361
-0.0305,63831.8,283.11
-0.02745,63782.9,282.925
-0.0244,63765.4,282.808
-0.02135,63766.3,282.75
-0.0183,63774.3,282.736
-0.01525,63782.4,282.74
-0.0122,63787.2,282.752
-0.00915,63788.7,282.739
-0.0061,63789,282.784
-0.00305,63788.1,282.772
-8.27181e-25,63783,284.141
0.00305,63775.3,288.696
0.0061,63776.3,293.463
0.00915,63784.4,295.395
0.0122,63789.1,295.7
0.01525,63793.4,295.744
0.0183,63802.5,295.777
0.02135,63817.5,295.812
0.0244,63836.2,295.825
0.02745,63853.4,295.797
0.0305,63858.5,295.706
0.03355,63838.4,295.541
0.0366,63782.8,295.296
0.03965,63684,294.973
0.0427,63537.6,294.583
0.04575,63343.1,294.142
0.0488,63104.3,293.666
0.05185,62828.1,293.175
0.0549,62523.7,292.685
0.05795,62201.7,292.211
0.061,61872.5,291.766
0.06405,61545.9,291.356
0.0671,61230.2,290.986
0.07015,60932,290.658
0.0732,60655.8,290.371
0.07625,60404.9,290.125
0.0793,60180.4,289.916
0.08235,59982.4,289.74
0.0854,59810.2,289.594
0.08845,59662.2,289.474
0.0915,59536.3,289.376
0.09455,59430.3,289.297
0.0976,59341.9,289.233
0.10065,59268.6,289.182
0.1037,59208.6,289.141
0.10675,59159.6,289.109
0.1098,59119.9,289.084
0.11285,59088.1,289.065
0.1159,59062.6,289.049
0.11895,59042.2,289.037
0.122,59026.2,289.028
0.12505,59013.7,289.022
0.1281,59003.8,289.016
0.13115,58996.1,289.013
0.1342,58990.3,289.01
0.13725,58985.9,289.007
0.1403,58982.5,289.005
0.14335,58980.1,289.005
0.1464,58978.4,289.004
0.14945,58977.5,289.003
0.152,58977.2,289.003
