x,p,T,maxKappa,minKappa
-0.152,68962.3,288.997,0.0812783,0.0210025
-0.14945,68961.9,288.996,0.495798,0.128115
-0.1464,68960.6,288.996,0.495799,0.128115
-0.14335,68958.6,288.995,0.4958,0.128116
-0.1403,68955.7,288.993,0.495803,0.128117
-0.13725,68951.3,288.991,0.495806,0.128117
-0.1342,68945.3,288.988,0.495812,0.128119
-0.13115,68937.4,288.984,0.495819,0.12812
-0.1281,68927.2,288.979,0.495828,0.128122
-0.12505,68914.8,288.972,0.49584,0.128125
-0.122,68899.2,288.963,0.495855,0.128128
-0.11895,68878.5,288.951,0.495875,0.128132
-0.1159,68849.9,288.934,0.495904,0.128138
-0.11285,68812.5,288.913,0.495941,0.128147
-0.1098,68766.3,288.884,0.49599,0.128158
-0.10675,68708.8,288.848,0.496053,0.128172
-0.1037,68638.6,288.802,0.496132,0.12819
-0.10065,68552.9,288.742,0.496234,0.128214
-0.0976,68448.5,288.665,0.496366,0.128243
-0.09455,68323,288.569,0.496534,0.128281
-0.0915,68177.1,288.458,0.496727,0.128327
-0.08845,68012.6,288.331,0.496947,0.12838
-0.0854,67826.4,288.174,0.497217,0.128442
-0.08235,67605.9,287.981,0.497548,0.12852
-0.0793,67350.5,287.758,0.497934,0.128613
-0.07625,67075.3,287.499,0.498378,0.128719
-0.0732,66771.5,287.188,0.498923,0.128845
-0.07015,66445.9,286.859,0.4995,0.12899
-0.0671,66109.5,286.531,0.500072,0.129138
-0.06405,65751.3,286.14,0.500756,0.129295
-0.061,65386.2,285.682,0.501554,0.12949
-0.05795,65029.1,285.214,0.502371,0.129704
-0.0549,64673.2,284.733,0.503218,0.12992
-0.05185,64375.9,284.269,0.504049,0.130136
-0.0488,64151.3,283.828,0.504826,0.130344
-0.04575,63948.8,283.398,0.505595,0.130548
-0.0427,63790.1,283.054,0.506221,0.130729
-0.03965,63690.9,282.781,0.506703,0.13087
-0.0366,63635.7,282.563,0.507086,0.130987
-0.03355,63611.8,282.445,0.5073,0.131067
-0.0305,63616,282.401,0.507379,0.1311
-0.02745,63643.1,282.403,0.507372,0.131098
-0.0244,63677.1,282.429,0.507325,0.131089
-0.02135,63707,282.429,0.507329,0.131089
-0.0183,63727.6,282.407,0.507373,0.131097
-0.01525,63741.3,282.412,0.507367,0.131093
-0.0122,63754.5,282.476,0.507258,0.131048
-0.00915,63763.5,282.631,0.507021,0.130949
-0.0061,63767.5,282.96,0.50648,0.130742
-0.00305,63769.9,283.665,0.505235,0.130275
-8.27181e-25,63769.8,285.198,0.502475,0.129231
0.00305,63767.5,288.057,0.497479,0.127616
0.0061,63764.5,291.595,0.491487,0.12618
0.00915,63761.9,294.176,0.48714,0.125491
0.0122,63761.6,295.243,0.485324,0.125313
0.01525,63764.4,295.493,0.484902,0.125281
0.0183,63769.3,295.547,0.484815,0.125265
0.02135,63778.3,295.594,0.484732,0.125244
0.0244,63792.5,295.645,0.484646,0.125222
0.02745,63811,295.684,0.484589,0.125212
0.0305,63831.3,295.699,0.484565,0.125204
0.03355,63849.5,295.714,0.484537,0.125198
0.0366,63857.7,295.713,0.484541,0.125198
0.03965,63850.2,295.64,0.484658,0.125211
0.0427,63818.6,295.48,0.484918,0.125257
0.04575,63753.3,295.248,0.485312,0.125344
0.0488,63657.6,294.974,0.485775,0.125452
0.05185,63524,294.627,0.486338,0.125581
0.0549,63343.5,294.208,0.487024,0.125746
0.05795,63120,293.746,0.487788,0.125938
0.061,62851.7,293.264,0.488593,0.126142
0.06405,62544.4,292.767,0.489429,0.126354
0.0671,62213.6,292.281,0.490241,0.126569
0.07015,61875.3,291.838,0.490979,0.126773
0.0732,61545.7,291.427,0.491663,0.12696
0.07625,61237.5,291.056,0.49229,0.127131
0.0793,60936.5,290.713,0.492873,0.127286
0.08235,60631.5,290.402,0.493401,0.12743
0.0854,60350.1,290.136,0.493851,0.127558
0.08845,60110.5,289.913,0.494232,0.127665
0.0915,59906,289.723,0.494555,0.127755
0.09455,59730,289.565,0.494824,0.127832
0.0976,59581.2,289.44,0.495038,0.127894
0.10065,59457.9,289.345,0.495203,0.127942
0.1037,59356.2,289.265,0.495339,0.12798
0.10675,59273.4,289.201,0.495448,0.128012
0.1098,59206.3,289.153,0.49553,0.128037
0.11285,59152.4,289.115,0.495595,0.128055
0.1159,59110.3,289.085,0.495646,0.12807
0.11895,59077,289.063,0.495683,0.128082
0.122,59050.9,289.047,0.495711,0.12809
0.12505,59031.3,289.035,0.495732,0.128096
0.1281,59016.6,289.026,0.495748,0.128101
0.13115,59005.5,289.019,0.495759,0.128105
0.1342,58997.3,289.014,0.495767,0.128107
0.13725,58990.8,289.01,0.495773,0.128109
0.1403,58986,289.008,0.495777,0.128109
0.14335,58982.7,289.006,0.495781,0.128111
0.1464,58980.3,289.005,0.495783,0.128111
0.14945,58978.9,289.004,0.495784,0.128112
0.152,58978.5,289.004,0.0812761,0.021002
