x,p,T
-0.152,68970,289
-0.14945,68970,289
-0.1464,68970,289
-0.14335,68970,289
-0.1403,68970,289
-0.13725,68970,289
-0.1342,68970,289
-0.13115,68970,289
-0.1281,68970,289
-0.12505,68970,289
-0.122,68970,289
-0.11895,68970,289
-0.1159,68970,289
-0.11285,68970,289
-0.1098,68970,289
-0.10675,68969.9,289
-0.1037,68969.9,289
-0.10065,68969.6,289
-0.0976,68968.9,288.999
-0.09455,68967.1,288.996
-0.0915,68962.3,288.991
-0.08845,68950.9,288.977
-0.0854,68924.8,288.947
-0.08235,68868.6,288.88
-0.0793,68756.1,288.745
-0.07625,68555.2,288.507
-0.0732,68237.4,288.128
-0.07015,67782.8,287.585
-0.0671,67191.4,286.879
-0.06405,66493.6,286.044
-0.061,65746.1,285.15
-0.05795,65018.7,284.279
-0.0549,64370.8,283.503
-0.05185,63821.3,282.845
-0.0488,63392.5,282.33
-0.04575,63141.4,282.028
-0.0427,63130.2,282.014
-0.03965,63291.1,282.207
-0.0366,63496.7,282.448
-0.03355,63713.8,282.706
-0.0305,63882,282.907
-0.02745,63935.2,282.969
-0.0244,63911.3,282.943
-0.02135,63857.3,282.88
-0.0183,63792.6,282.805
-0.01525,63772,282.78
-0.0122,63776.9,282.792
-0.00915,63764.1,282.772
-0.0061,63764.1,282.778
-0.00305,63778.7,282.783
-8.27181e-25,63779.1,283.774
0.00305,63764.5,287.814
0.0061,63768.8,293.023
0.00915,63786.1,295.5
0.0122,63777.9,295.774
0.01525,63762.4,295.746
0.0183,63770.1,295.746
0.02135,63780,295.755
0.0244,63773.3,295.744
0.02745,63773.1,295.743
0.0305,63780.5,295.752
0.03355,63783,295.755
0.0366,63785.7,295.758
0.03965,63786,295.759
0.0427,63794.3,295.77
0.04575,63812.2,295.795
0.0488,63823,295.81
0.05185,63835.4,295.827
0.0549,63888.2,295.901
0.05795,63964.8,296.009
0.061,64027.7,296.095
0.06405,63745,295.696
0.0671,62559.7,294.026
0.07015,61019.4,291.858
0.0732,60000.5,290.432
0.07625,59470.5,289.695
0.0793,59204.5,289.326
0.08235,59075.6,289.147
0.0854,59015.6,289.063
0.08845,58988.9,289.026
0.0915,58977.5,289.01
0.09455,58972.8,289.004
0.0976,58971.1,289.002
0.10065,58970.4,289
0.1037,58970.2,289
0.10675,58970.1,289
0.1098,58970,289
0.11285,58970,289
0.1159,58970,289
0.11895,58970,289
0.122,58970,289
0.12505,58970,289
0.1281,58970,289
0.13115,58970,289
0.1342,58970,289
0.13725,58970,289
0.1403,58970,289
0.14335,58970,289
0.1464,58970,289
0.14945,58970,289
0.152,58970,289
