x,p,T,maxKappa,minKappa
-0.152,68970,289,0.163934,0.146693
-0.14945,68970,289,1,0.894825
-0.1464,68970,289,1,0.894825
-0.14335,68970,289,1,0.894825
-0.1403,68970,289,1,0.894825
-0.13725,68970,289,1,0.894825
-0.1342,68970,289,1,0.894825
-0.13115,68970,289,1,0.894825
-0.1281,68970,289,1,0.894825
-0.12505,68970,289,1,0.894825
-0.122,68970,289,1,0.894825
-0.11895,68969.9,289,1,0.894825
-0.1159,68969.9,289,1,0.894825
-0.11285,68969.8,289,1,0.894825
-0.1098,68969.5,289,1,0.894825
-0.10675,68969.1,289,1,0.894825
-0.1037,68968.3,288.999,1,0.894826
-0.10065,68966.9,288.999,1,0.894827
-0.0976,68964.1,288.997,1,0.894829
-0.09455,68959.4,288.994,1,0.894832
-0.0915,68951.6,288.989,1,0.894837
-0.08845,68936.8,288.981,1,0.894847
-0.0854,68912.7,288.973,1,0.89486
-0.08235,68867,288.94,1,0.894886
-0.0793,68801,288.893,1,0.894947
-0.07625,68708.5,288.816,1,0.895034
-0.0732,68567.3,288.692,1,0.895186
-0.07015,68354.8,288.53,1,0.895405
-0.0671,68064.4,288.272,1,0.895717
-0.06405,67696.6,287.932,1,0.896187
-0.061,67253.4,287.529,1,0.896755
-0.05795,66738,286.941,1,0.897516
-0.0549,66149,286.264,1,0.898527
-0.05185,65548.7,285.512,1,0.899668
-0.0488,65016.9,284.748,1,0.900892
-0.04575,64593.5,284.101,1,0.902029
-0.0427,64286.2,283.525,1,0.903022
-0.03965,64081.1,283.138,1,0.903805
-0.0366,63959.5,282.923,1,0.904268
-0.03355,63902,282.823,1,0.904495
-0.0305,63880.4,282.785,1,0.904582
-0.02745,63868.6,282.751,1,0.904632
-0.0244,63859.1,282.716,1,0.90469
-0.02135,63850.6,282.694,1,0.904739
-0.0183,63840.6,282.694,1,0.904737
-0.01525,63830.7,282.734,1,0.904633
-0.0122,63821.5,282.853,1,0.904358
-0.00915,63812.9,283.122,1,0.903771
-0.0061,63804.2,283.667,1,0.902613
-0.00305,63794.4,284.677,1,0.900548
-8.27181e-25,63785.2,286.331,1,0.897403
0.00305,63779.6,288.592,1,0.893518
0.0061,63778.8,291.079,1,0.889772
0.00915,63783.6,293.22,1,0.887006
0.0122,63792.3,294.642,1,0.885466
0.01525,63799.4,295.356,1,0.884851
0.0183,63802.5,295.607,1,0.884701
0.02135,63802.5,295.659,1,0.884687
0.0244,63798.2,295.652,1,0.884689
0.02745,63787.1,295.616,1,0.884717
0.0305,63768.1,295.557,1,0.884793
0.03355,63742,295.498,1,0.884887
0.0366,63708.4,295.431,1,0.884974
0.03965,63658.8,295.319,1,0.885093
0.0427,63557.2,295.102,1,0.885313
0.04575,63356.1,294.714,1,0.885747
0.0488,63048.4,294.145,1,0.886469
0.05185,62641,293.418,1,0.887458
0.0549,62114.7,292.572,1,0.888687
0.05795,61541.1,291.76,1,0.889997
0.061,61015.7,291.084,1,0.891143
0.06405,60506,290.505,1,0.892099
0.0671,60061.3,290.028,1,0.892909
0.07015,59735,289.652,1,0.893576
0.0732,59480.6,289.407,1,0.894049
0.07625,59290.8,289.257,1,0.894334
0.0793,59164.2,289.15,1,0.894528
0.08235,59087.3,289.091,1,0.89465
0.0854,59039.2,289.05,1,0.894723
0.08845,59009.2,289.026,1,0.894771
0.0915,58991.6,289.013,1,0.894797
0.09455,58981.2,289.006,1,0.894812
0.0976,58976.1,289.004,1,0.894817
0.10065,58973.3,289.002,1,0.89482
0.1037,58971.7,289.001,1,0.894823
0.10675,58970.9,289,1,0.894824
0.1098,58970.4,289,1,0.894824
0.11285,58970.2,289,1,0.894825
0.1159,58970.1,289,1,0.894825
0.11895,58970.1,289,1,0.894825
0.122,58970,289,1,0.894825
0.12505,58970,289,1,0.894825
0.1281,58970,289,1,0.894825
0.13115,58970,289,1,0.894825
0.1342,58970,289,1,0.894825
0.13725,58970,289,1,0.894825
0.1403,58970,289,1,0.894825
0.14335,58970,289,1,0.894825
0.1464,58970,289,1,0.894825
0.14945,58970,289,1,0.894825
0.152,58970,289,0.163934,0.146693
