x,U_0,U_1,U_2
-0.98,89.6238,-0.00428414,0
-0.94,93.2142,-0.0042839,0
-0.9,96.1059,-0.0042855,0
-0.86,98.914,-0.00428396,-9.91967e-15
-0.82,102.123,-0.004278,-1.0174e-14
-0.78,105.512,-0.00428948,-1.05105e-14
-0.74,109.121,-0.00429909,0
-0.7,113.008,-0.00425427,0
-0.66,117.193,-0.00427541,-1.15592e-14
-0.62,121.712,-0.00436055,-1.19575e-14
-0.58,126.612,-0.00421321,0
-0.54,131.946,-0.00423334,-1.28398e-14
-0.5,137.778,-0.00447124,0
-0.46,144.185,-0.00409273,0
-0.42,151.265,-0.00430483,-1.44251e-14
-0.38,159.141,-0.00449249,0
-0.34,167.969,-0.0038738,-1.57025e-14
-0.3,177.957,-0.00491498,0
-0.26,189.388,-0.00390601,0
-0.22,202.663,-0.00284688,0
-0.18,218.386,-0.00240143,0
-0.14,237.55,-0.0362246,0
-0.1,261.994,-0.00543295,0
-0.06,295.794,0.477666,0
-0.02,350.44,-0.853004,0
0.02,451.132,-3.73714,0
0.06,523.137,8.27958,0
0.1,561.822,2.8563,0
0.14,588.72,-3.34645,0
0.18,609.103,-2.98124,0
0.22,626.875,-4.83304,0
0.26,641.208,-1.63761,0
0.3,654.355,1.92898,0
0.34,665.525,2.14235,9.32253e-15
0.38,676.498,4.17189,0
0.42,684.37,1.92363,7.88468e-15
0.46,697.393,-0.471945,0
0.5,696.666,-1.32884,0
0.54,435.383,-3.70296,9.87695e-15
0.58,238.029,16.2421,0
0.62,218.489,-9.85755,1.20856e-14
0.66,206.905,-10.3734,1.13575e-14
0.7,197.144,-4.12035,0
0.74,189.436,4.49709,0
0.78,180.594,6.82449,1.01929e-14
0.82,173.137,3.39922,0
0.86,167.217,-1.6592,9.60286e-15
0.9,161.708,-3.27448,0
0.94,158.821,-0.682023,0
0.98,152.258,0.17058,0
