x,U_0,U_1,U_2
-0.152,8.49958e-14,-1.47879e-13,0
-0.14945,8.42174e-14,-1.49471e-13,0
-0.1464,1.10627e-13,-1.34021e-13,0
-0.14335,1.86942e-13,-9.28813e-14,0
-0.1403,2.38761e-13,-4.83533e-14,0
-0.13725,1.66135e-13,-3.38544e-14,0
-0.1342,4.91021e-14,7.30235e-15,0
-0.13115,7.74611e-14,3.85591e-14,0
-0.1281,1.43527e-13,1.75765e-14,0
-0.12505,1.42086e-13,1.39316e-14,0
-0.122,1.41781e-13,2.67703e-14,0
-0.11895,9.37065e-14,6.47661e-14,0
-0.1159,-1.77187e-14,8.39452e-14,0
-0.11285,-2.48033e-14,7.48039e-14,-4.41408e-34
-0.1098,1.39547e-13,5.05994e-14,-4.41409e-34
-0.10675,2.62084e-13,3.10327e-14,0
-0.1037,2.57597e-13,2.79012e-14,0
-0.10065,2.08973e-13,1.9164e-14,0
-0.0976,1.36061e-13,-8.53966e-15,0
-0.09455,1.02046e-13,-3.1544e-14,0
-0.0915,1.59959e-13,-3.37419e-14,0
-0.08845,2.3921e-13,-5.00389e-14,0
-0.0854,2.72748e-13,-3.80697e-14,0
-0.08235,1.74362e-12,-2.23262e-14,0
-0.0793,3.76504e-11,-1.49529e-13,0
-0.07625,9.31576e-10,-4.30573e-12,0
-0.0732,2.45043e-08,-2.05376e-10,0
-0.07015,6.17084e-07,-8.4229e-09,0
-0.0671,1.55674e-05,-2.54745e-07,0
-0.06405,0.000422638,-6.14259e-06,0
-0.061,0.0116324,-0.00013406,0
-0.05795,0.214434,-0.00201616,8.02132e-35
-0.0549,1.56517,-0.0127411,8.0213e-35
-0.05185,4.91864,-0.0346436,0
-0.0488,9.22075,-0.05482,0
-0.04575,12.9005,-0.0618266,0
-0.0427,15.4862,-0.0574508,-7.83121e-35
-0.03965,17.0731,-0.0475928,-7.83119e-35
-0.0366,17.9306,-0.0361909,0
-0.03355,18.3369,-0.0252442,6.91866e-35
-0.0305,18.5055,-0.0163884,6.91864e-35
-0.02745,18.573,-0.0112004,0
-0.0244,18.602,-0.00444308,0
-0.02135,18.6099,-0.00137808,2.26635e-35
-0.0183,18.6109,-0.000682652,2.26637e-35
-0.01525,18.6142,0.0020301,0
-0.0122,18.6192,0.00158691,0
-0.00915,18.6218,0.000763158,0
-0.0061,18.6198,-6.00074e-05,0
-0.00305,18.6158,-0.000977959,0
-8.27181e-25,18.6157,-0.00218824,0
0.00305,18.6198,-0.00330926,0
0.0061,18.6227,-0.00420189,0
0.00915,18.6196,-0.00474612,0
0.0122,18.6128,-0.00477701,0
0.01525,18.6086,-0.00371334,-4.89793e-35
0.0183,18.6089,-0.00277008,-2.0825e-35
0.02135,18.609,-0.00577819,2.81541e-35
0.0244,18.604,-0.00264323,0
0.02745,18.5937,0.0030304,8.18957e-35
0.0305,18.5803,0.00677671,8.18958e-35
0.03355,18.5485,0.0149601,0
0.0366,18.4577,0.0239239,0
0.03965,18.2172,0.0362515,0
0.0427,17.624,0.0515466,0
0.04575,16.3175,0.0657722,0
0.0488,13.7815,0.0729331,0
0.05185,9.6093,0.063311,0
0.0549,4.5545,0.0353727,0
0.05795,1.10303,0.00991681,0
0.061,0.0948783,0.00100144,0
0.06405,0.00358957,4.91211e-05,4.07528e-35
0.0671,0.000117505,1.95762e-06,4.07527e-35
0.07015,4.11163e-06,7.42866e-08,0
0.0732,1.47302e-07,2.76399e-09,0
0.07625,5.28459e-09,9.48578e-11,0
0.0793,1.86196e-10,-8.68493e-13,0
0.08235,5.00194e-12,-2.49689e-12,0
0.0854,-9.99428e-13,-1.27592e-12,0
0.08845,-6.33948e-13,-4.87735e-13,0
0.0915,-1.97383e-13,-8.89389e-14,0
0.09455,2.00845e-14,-4.00542e-15,0
0.0976,1.27968e-13,-3.02406e-14,0
0.10065,1.92112e-14,-3.09383e-14,0
0.1037,-1.44376e-13,-1.86514e-14,0
0.10675,-1.82774e-13,-1.41433e-14,0
0.1098,-1.73809e-13,-3.01328e-14,0
0.11285,-7.41466e-14,-2.0497e-14,0
0.1159,4.45506e-14,-1.45212e-14,0
0.11895,1.70217e-14,-5.01771e-14,0
0.122,-5.59107e-14,-9.91207e-14,0
0.12505,-8.75748e-14,-1.08875e-13,6.54242e-35
0.1281,-4.84821e-14,-8.09706e-14,6.54243e-35
0.13115,-3.25538e-14,-6.94261e-14,-1.18288e-34
0.1342,-3.44103e-14,-8.15606e-14,-1.18288e-34
0.13725,3.27264e-14,-9.52395e-14,0
0.1403,1.79532e-14,-5.57934e-14,0
0.14335,-3.2459e-14,2.76119e-14,0
0.1464,-1.12419e-14,7.17667e-14,0
0.14945,2.37595e-14,5.48589e-14,0
0.152,3.28559e-14,4.23868e-14,0
