x,p,T
-0.98,301209,496.007
-0.94,299451,495.682
-0.9,298653,495.41
-0.86,298163,495.139
-0.82,297473,494.818
-0.78,296729,494.469
-0.74,295926,494.084
-0.7,295027,493.654
-0.66,294025,493.176
-0.62,292907,492.639
-0.58,291650,492.034
-0.54,290230,491.349
-0.5,288616,490.567
-0.46,286770,489.669
-0.42,284644,488.63
-0.38,282172,487.415
-0.34,279273,485.98
-0.3,275830,484.264
-0.26,271686,482.177
-0.22,266608,479.592
-0.18,260241,476.302
-0.14,251987,471.961
-0.1,240732,465.894
-0.06,224078,456.539
-0.02,196275,438.99
0.02,139776,398.547
0.06,102378,364.241
0.1,82815.1,342.296
0.14,70765.3,327.786
0.18,61787.2,315.268
0.22,54775.5,304.554
0.26,49100.7,294.918
0.3,44504.3,287.133
0.34,40526.6,279.48
0.38,37102.5,272.488
0.42,34375.7,266.465
0.46,30665.7,258.118
0.5,30809.4,258.539
0.54,92223.7,406.557
0.58,152241,470.594
0.62,159986,475.931
0.66,162635,478.234
0.7,165258,481.009
0.74,167697,482.902
0.78,169789,484.218
0.82,170938,485.395
0.86,171893,486.133
0.9,172855,486.96
0.94,174027,487.801
0.98,172912,488.865
