x,p,T
-0.152,68970,289
-0.14945,68970,289
-0.1464,68970,289
-0.14335,68970,289
-0.1403,68970,289
-0.13725,68970,289
-0.1342,68970,289
-0.13115,68970,289
-0.1281,68970,289
-0.12505,68970,289
-0.122,68970,289
-0.11895,68970,289
-0.1159,68970,289
-0.11285,68970,289
-0.1098,68970,289
-0.10675,68970,289
-0.1037,68970,289
-0.10065,68970,289
-0.0976,68970,289
-0.09455,68970,289
-0.0915,68970,289
-0.08845,68970,289
-0.0854,68969.9,289
-0.08235,68969.8,289
-0.0793,68969.3,289
-0.07625,68968,288.998
-0.0732,68964.1,288.993
-0.07015,68953.8,288.981
-0.0671,68928.1,288.95
-0.06405,68868.1,288.88
-0.061,68738.9,288.726
-0.05795,68495.2,288.436
-0.0549,68096.2,287.961
-0.05185,67517.6,287.27
-0.0488,66771,286.378
-0.04575,65920.1,285.36
-0.0427,65066.3,284.338
-0.03965,64310.3,283.433
-0.0366,63692,282.692
-0.03355,63255.2,282.167
-0.0305,63120.8,282.007
-0.02745,63234,282.14
-0.0244,63462.4,282.411
-0.02135,63724.2,282.721
-0.0183,63893.8,282.924
-0.01525,63919.2,282.952
-0.0122,63858.1,282.885
-0.00915,63807.9,282.822
-0.0061,63780.8,282.801
-0.00305,63762.8,282.755
-8.27181e-25,63771.4,284.481
0.00305,63776.5,289.635
0.0061,63771.4,294.341
0.00915,63775.9,295.73
0.0122,63778.1,295.776
0.01525,63780.6,295.766
0.0183,63780.8,295.758
0.02135,63770.9,295.742
0.0244,63779.1,295.753
0.02745,63801.9,295.783
0.0305,63810.1,295.794
0.03355,63817.6,295.805
0.0366,63853.5,295.856
0.03965,63935.5,295.971
0.0427,64067.2,296.153
0.04575,63957.6,295.998
0.0488,62941.7,294.566
0.05185,61324.6,292.288
0.0549,60122.3,290.601
0.05795,59507.5,289.746
0.061,59209.1,289.332
0.06405,59071,289.14
0.0671,59010.6,289.056
0.07015,58985.5,289.022
0.0732,58975.6,289.008
0.07625,58971.9,289.003
0.0793,58970.6,289
0.08235,58970.2,289
0.0854,58970,289
0.08845,58970,289
0.0915,58970,289
0.09455,58970,289
0.0976,58970,289
0.10065,58970,289
0.1037,58970,289
0.10675,58970,289
0.1098,58970,289
0.11285,58970,289
0.1159,58970,289
0.11895,58970,289
0.122,58970,289
0.12505,58970,289
0.1281,58970,289
0.13115,58970,289
0.1342,58970,289
0.13725,58970,289
0.1403,58970,289
0.14335,58970,289
0.1464,58970,289
0.14945,58970,289
0.152,58970,289
