x,p,T
-0.98,301176,495.994
-0.94,299376,495.667
-0.9,298528,495.395
-0.86,297990,495.121
-0.82,297249,494.792
-0.78,296455,494.427
-0.74,295603,494.018
-0.7,294655,493.557
-0.66,293607,493.038
-0.62,292442,492.456
-0.58,291141,491.801
-0.54,289678,491.064
-0.5,288024,490.232
-0.46,286141,489.285
-0.42,283980,488.201
-0.38,281477,486.947
-0.34,278551,485.479
-0.3,275086,483.736
-0.26,270926,481.631
-0.22,265839,479.033
-0.18,259471,475.739
-0.14,251228,471.4
-0.1,240000,465.344
-0.06,223389,456.001
-0.02,195663,438.468
0.02,139373,398.268
0.06,102036,363.514
0.1,82558.7,342.269
0.14,70460.8,327.063
0.18,61621.6,314.991
0.22,54579.1,304.145
0.26,48926.3,294.877
0.3,44275.2,286.506
0.34,40381.7,279.171
0.38,36941.4,271.992
0.42,34263.7,266.46
0.46,30425.3,257.527
0.5,30465.3,257.619
0.54,85226.3,397.101
0.58,148683,468.919
0.62,160434,476.327
0.66,163424,479.653
0.7,165858,481.733
0.74,168118,482.984
0.78,169815,484.231
0.82,170638,485.03
0.86,171289,485.133
0.9,171768,485.481
0.94,172792,485.935
0.98,172046,486.846
