x,U_0,U_1,U_2
-0.98,89.6238,-0.00428334,0
-0.94,93.2142,-0.00428343,0
-0.9,96.1059,-0.00428347,0
-0.86,98.914,-0.0042804,-9.91967e-15
-0.82,102.123,-0.00428245,-1.0174e-14
-0.78,105.512,-0.00429454,-1.05105e-14
-0.74,109.121,-0.00427408,0
-0.7,113.008,-0.00425824,0
-0.66,117.193,-0.00433079,-1.15592e-14
-0.62,121.712,-0.00428816,-1.19575e-14
-0.58,126.612,-0.00418148,0
-0.54,131.946,-0.00440058,-1.28398e-14
-0.5,137.778,-0.00429285,0
-0.46,144.185,-0.00408929,0
-0.42,151.265,-0.00456536,-1.44251e-14
-0.38,159.141,-0.00406964,0
-0.34,167.969,-0.00433134,-1.57025e-14
-0.3,177.957,-0.00452743,0
-0.26,189.388,-0.00327346,0
-0.22,202.663,-0.00727177,0
-0.18,218.386,-0.00419595,0
-0.14,237.55,0.0297469,0
-0.1,261.993,-0.0347119,0
-0.06,295.794,-0.446764,0
-0.02,350.453,1.12758,0
0.02,451.08,2.70581,0
0.06,523.17,-8.71466,0
0.1,561.823,-1.34744,0
0.14,588.757,3.97779,0
0.18,609.062,3.21284,0
0.22,626.862,4.54582,0
0.26,641.229,0.588073,0
0.3,654.395,-2.47773,0
0.34,665.482,-2.51407,9.32528e-15
0.38,676.474,-4.07371,0
0.42,684.365,-1.29042,7.87778e-15
0.46,697.381,0.93713,0
0.5,696.644,1.4527,0
0.54,436.773,11.7102,9.87412e-15
0.58,246.167,-4.00627,0
0.62,212.431,-13.3065,1.19448e-14
0.66,204.554,-2.78345,1.11328e-14
0.7,194.822,6.14023,0
0.74,186.322,8.18764,0
0.78,180.365,4.03819,1.00917e-14
0.82,175.162,-2.12531,0
0.86,168.884,-4.17296,9.59761e-15
0.9,163.784,-1.76613,0
0.94,159.521,0.739565,0
0.98,153.318,0.961581,0
