x,U_0,U_1,U_2
-0.152,2.40539e-13,-9.78734e-15,0
-0.14945,2.61285e-13,7.29748e-15,0
-0.1464,6.8605e-14,2.99229e-14,0
-0.14335,-1.85382e-13,1.13125e-13,0
-0.1403,-9.63404e-14,1.8538e-13,0
-0.13725,1.3137e-14,2.61284e-13,0
-0.1342,1.38671e-13,3.63463e-13,0
-0.13115,3.99957e-13,3.95576e-13,0
-0.1281,7.59043e-13,3.7879e-13,0
-0.12505,1.77207e-12,1.54727e-13,0
-0.122,7.13793e-12,-1.00719e-13,0
-0.11895,3.6037e-11,-2.43769e-13,0
-0.1159,1.77765e-10,-3.74411e-13,0
-0.11285,8.45233e-10,-4.68562e-13,1.75598e-38
-0.1098,3.89292e-09,-5.40817e-13,1.73575e-38
-0.10675,1.73802e-08,-5.04325e-13,0
-0.1037,7.51879e-08,-3.29162e-13,0
-0.10065,3.14855e-07,-2.55447e-13,0
-0.0976,1.27459e-06,-2.8464e-13,0
-0.09455,4.98079e-06,-2.26977e-13,0
-0.0915,1.87584e-05,-1.37925e-13,0
-0.08845,6.79679e-05,-1.28403e-13,0
-0.0854,0.000236466,-2.22454e-13,0
-0.08235,0.000788227,-5.3752e-13,0
-0.0793,0.00251124,-1.41395e-12,0
-0.07625,0.00762571,-3.70452e-12,0
-0.0732,0.0220013,-9.43921e-12,0
-0.07015,0.0600886,-2.3222e-11,0
-0.0671,0.154676,-5.453e-11,0
-0.06405,0.373325,-1.20419e-10,0
-0.061,0.839511,-2.49771e-10,0
-0.05795,1.74486,-4.85032e-10,1.38763e-38
-0.0549,3.31445,-8.78484e-10,1.36747e-38
-0.05185,5.67132,-1.46737e-09,0
-0.0488,8.67917,-2.26352e-09,0
-0.04575,11.9656,-3.16124e-09,0
-0.0427,15.0737,-3.79074e-09,-1.26639e-38
-0.03965,17.5598,-3.60484e-09,-1.24655e-38
-0.0366,19.0793,-2.11765e-09,0
-0.03355,19.5965,9.46085e-10,1.2024e-38
-0.0305,19.5576,4.45994e-09,1.18264e-38
-0.02745,19.4468,6.61672e-09,0
-0.0244,19.3543,7.34162e-09,0
-0.02135,19.3002,6.78127e-09,-1.12442e-38
-0.0183,19.2392,5.70984e-09,-1.10464e-38
-0.01525,19.2292,3.84934e-09,0
-0.0122,19.1576,3.32029e-09,0
-0.00915,19.1812,2.64816e-10,0
-0.0061,19.1619,5.56718e-09,0
-0.00305,18.9629,-8.2608e-09,0
-8.27181e-25,19.2673,-1.61338e-08,0
0.00305,19.2645,-2.56604e-09,0
0.0061,18.9915,8.11479e-09,0
0.00915,19.1097,5.24291e-09,0
0.0122,19.1527,-2.87661e-09,0
0.01525,19.1478,1.91795e-09,-4.63743e-39
0.0183,19.1389,3.07543e-10,2.49482e-42
0.02135,19.1257,-2.03488e-10,4.433e-39
0.0244,19.1317,-1.84955e-09,0
0.02745,19.1391,-3.73657e-09,-4.22196e-39
0.0305,19.1728,-4.65006e-09,-4.11857e-39
0.03355,19.1652,-2.84257e-09,0
0.0366,19.0285,-2.19264e-09,0
0.03965,19.1749,-2.86043e-09,0
0.0427,19.6876,-3.71562e-10,0
0.04575,18.9556,4.17722e-09,0
0.0488,15.3278,5.07345e-09,0
0.05185,9.9851,2.35269e-09,0
0.0549,5.47482,-4.75127e-11,0
0.05795,2.70191,-9.33151e-10,0
0.061,1.23411,-9.24516e-10,0
0.06405,0.526919,-6.32293e-10,2.91681e-39
0.0671,0.211529,-3.56942e-10,2.81566e-39
0.07015,0.0801792,-1.76873e-10,0
0.0732,0.028796,-7.92991e-11,0
0.07625,0.00982885,-3.27965e-11,0
0.0793,0.0031971,-1.26933e-11,0
0.08235,0.000993508,-4.80768e-12,0
0.0854,0.00029561,-1.85708e-12,0
0.08845,8.4392e-05,-7.84046e-13,0
0.0915,2.31596e-05,-4.10594e-13,0
0.09455,6.12011e-06,-3.24801e-13,0
0.0976,1.55983e-06,-3.03033e-13,0
0.10065,3.83997e-07,-2.35171e-13,0
0.1037,9.14311e-08,-1.98039e-13,0
0.10675,2.10829e-08,-1.8054e-13,0
0.1098,4.71345e-09,-2.73584e-13,0
0.11285,1.02285e-09,-3.38032e-13,0
0.1159,2.15566e-10,-2.2066e-13,0
0.11895,4.35448e-11,-1.18226e-13,0
0.122,7.99784e-12,-1.31883e-13,0
0.12505,1.07009e-12,-4.35344e-14,-8.93403e-40
0.1281,2.07943e-13,1.19503e-14,-7.92295e-40
0.13115,6.44485e-13,-6.87161e-14,-6.91186e-40
0.1342,7.53917e-13,-1.13104e-13,-5.90077e-40
0.13725,5.91196e-13,-1.07129e-13,0
0.1403,3.81399e-13,-8.40812e-14,0
0.14335,3.57156e-13,1.83528e-14,0
0.1464,1.668e-13,1.44261e-13,0
0.14945,-5.58141e-14,2.16818e-13,0
0.152,-3.19874e-14,2.25382e-13,0
