x,p,T
-0.98,301209,496.007
-0.94,299452,495.682
-0.9,298654,495.41
-0.86,298164,495.139
-0.82,297474,494.819
-0.78,296731,494.469
-0.74,295928,494.084
-0.7,295029,493.655
-0.66,294028,493.177
-0.62,292910,492.64
-0.58,291653,492.036
-0.54,290233,491.351
-0.5,288619,490.569
-0.46,286774,489.672
-0.42,284648,488.632
-0.38,282177,487.418
-0.34,279277,485.983
-0.3,275835,484.267
-0.26,271690,482.18
-0.22,266613,479.595
-0.18,260245,476.305
-0.14,251992,471.964
-0.1,240736,465.897
-0.06,224080,456.539
-0.02,196283,439.004
0.02,139798,398.602
0.06,102310,363.971
0.1,82896.9,342.6
0.14,70729.1,327.724
0.18,61787.4,315.25
0.22,54762.1,304.393
0.26,49141.2,295.138
0.3,44486.3,287.109
0.34,40525.9,279.489
0.38,37086.3,272.301
0.42,34401.6,266.58
0.46,30639.8,258.105
0.5,30750.2,258.375
0.54,90192.2,403.9
0.58,156491,472.385
0.62,161066,477.866
0.66,162702,478.597
0.7,165010,480.125
0.74,166275,481.673
0.78,167707,482.863
0.82,169596,484.173
0.86,171457,485.845
0.9,173193,487.177
0.94,174357,487.918
0.98,173581,488.97
