x,p,T
-0.98,301209,496.007
-0.94,299452,495.682
-0.9,298654,495.41
-0.86,298164,495.139
-0.82,297474,494.819
-0.78,296731,494.469
-0.74,295928,494.084
-0.7,295029,493.655
-0.66,294028,493.177
-0.62,292910,492.64
-0.58,291653,492.036
-0.54,290233,491.351
-0.5,288619,490.569
-0.46,286774,489.672
-0.42,284648,488.632
-0.38,282177,487.418
-0.34,279277,485.983
-0.3,275835,484.267
-0.26,271690,482.18
-0.22,266613,479.595
-0.18,260245,476.305
-0.14,251992,471.964
-0.1,240738,465.898
-0.06,224077,456.536
-0.02,196270,438.985
0.02,139826,398.754
0.06,102290,363.672
0.1,82922.9,342.969
0.14,70668.8,327.422
0.18,61829.1,315.29
0.22,54772.6,304.373
0.26,49147.8,295.406
0.3,44442,286.86
0.34,40549.2,279.513
0.38,37090.9,272.201
0.42,34423.3,266.861
0.46,30634.6,258.074
0.5,30764.3,258.369
0.54,90693,404.39
0.58,155695,472.316
0.62,160336,477.006
0.66,162335,478.054
0.7,164790,480.201
0.74,166515,482.024
0.78,168365,483.236
0.82,170172,484.631
0.86,171880,486.207
0.9,173564,487.486
0.94,174790,488.307
0.98,173704,489.276
